Type,ClusterID,CentroidX,CentroidY,NumMembers,TimeOfDay,DecisiveOrStyle,Weather,RoadCondition,CommInterval,Channel,ChannelQuality
VRU,74,398.625,743.825,14,11.53,Decisive,night,clear,Low,20,Medium
VRU,75,23.0,785.083333333333,32,11.99,Decisive,night,clear,Low,17,Medium
VRU,76,760.1,759.05,11,11.07,Decisive,snow,slippery,Low,13,Medium
VRU,77,625.7,844.6,6,12.02,Decisive,motorway,sunny,Low,21,Good
VRU,78,317.9,532.4,5,10.41,Non-decisive,fog,not visible,High,22,Medium
VRU,79,1100.96666666667,757.2,14,10.18,Non-decisive,fog,not visible,High,25,Good
VRU,80,258.3,799.55,7,9.92,Non-decisive,fog,not visible,High,23,Medium
VRU,81,1290.6,776.5,16,10.95,Decisive,night,clear,High,27,Medium
VRU,82,1518.66666666667,761.333333333333,10,11.13,Decisive,night,clear,Low,29,Good
VRU,83,1467.0,729.2,7,10.83,Decisive,fog,not visible,High,30,Good
VRU,84,419.2,762.0,17,11.87,Non-decisive,motorway,sunny,Low,24,Medium
VRU,85,809.7,752.5,8,10.63,Decisive,fog,not visible,High,9,Good
VRU,86,313.4,822.6,4,10.19,Decisive,rain,slippery,High,25,Good
VRU,87,321.35,756.25,17,9.97,Decisive,rain,slippery,High,26,Good
VRU,88,1414.45,749.0,9,11.93,Non-decisive,motorway,sunny,Low,31,Medium
VRU,89,685.433333333333,776.8,18,11.89,Decisive,motorway,sunny,Low,27,Medium
VRU,90,440.425,742.85,20,12.0,Decisive,motorway,sunny,Low,28,Good
VRU,91,1260.7,834.225,7,10.44,Decisive,fog,not visible,High,32,Medium
VRU,92,666.6,828.3,4,9.55,Decisive,rain,slippery,High,29,Good
VRU,93,1665.03333333333,763.966666666667,10,11.7,Decisive,fog,not visible,Low,33,Good
VRU,94,1403.85,818.4,6,10.8,Decisive,fog,not visible,High,34,Medium
VRU,95,834.1,792.6,2,10.21,Decisive,night,clear,High,18,Good
VRU,96,1412.1,777.3,10,10.88,Decisive,snow,slippery,High,35,Medium
VRU,97,199.9,689.3,3,12.28,Non-decisive,night,clear,Low,30,Good
VRU,98,86.5,688.4,5,12.43,Decisive,fog,not visible,Low,21,Good
VRU,99,1612.325,757.275,21,10.66,Non-decisive,rain,slippery,High,36,Good
VRU,100,592.6,826.8,6,10.17,Non-decisive,night,clear,High,31,Medium
VRU,101,498.9,778.5,7,10.46,Decisive,fog,not visible,High,32,Medium
VRU,102,1163.6,806.6,4,11.91,Non-decisive,night,clear,Low,28,Good
VRU,103,292.133333333333,754.566666666667,14,9.76,Decisive,rain,slippery,High,33,Good
VRU,104,917.85,823.5,14,11.13,Non-decisive,night,clear,Low,19,Good
VRU,105,699.95,789.0,17,11.05,Decisive,fog,not visible,Low,30,Good
VRU,106,88.25,721.35,9,10.94,Decisive,snow,slippery,High,27,Medium
VRU,107,1498.9,818.5,12,10.82,Non-decisive,fog,not visible,High,37,Good
VRU,108,40.5,862.3,5,10.71,Non-decisive,motorway,sunny,High,29,Good
VRU,109,1039.0,747.3,11,9.59,Non-decisive,rain,slippery,High,33,Good
VRU,110,91.4,758.1,3,8.95,Decisive,rain,slippery,High,31,Medium
VRU,111,1213.5,757.7,13,10.61,Decisive,night,clear,High,38,Medium
VRU,112,114.3,725.25,11,10.29,Decisive,fog,not visible,High,34,Medium
VRU,113,459.3,846.6,6,9.38,Decisive,rain,slippery,High,35,Medium
VRU,114,1287.2,808.15,10,10.05,Decisive,fog,not visible,High,39,Medium
VRU,115,1720.7,697.35,26,10.55,Decisive,snow,slippery,High,38,Medium
VRU,116,890.6,762.4,4,9.0,Decisive,rain,slippery,High,26,Good
VRU,117,290.166666666667,803.3,13,9.93,Decisive,fog,not visible,High,36,Good
VRU,118,1891.65,729.6,10,10.6,Non-decisive,fog,not visible,High,24,Medium
VRU,119,1770.85,747.15,9,10.88,Non-decisive,motorway,sunny,High,32,Medium
VRU,120,1044.15,788.25,5,11.63,Non-decisive,night,clear,Low,36,Good
VRU,121,355.75,737.65,17,10.65,Decisive,rain,slippery,High,37,Good
VRU,122,1572.0,750.2,10,11.46,Decisive,fog,not visible,Low,40,Medium
VRU,123,1664.85,781.7,8,10.21,Non-decisive,fog,not visible,High,41,Good
VRU,124,1076.95,848.0,6,9.29,Decisive,rain,slippery,High,40,Medium
VRU,125,1725.75,764.0,10,12.45,Decisive,motorway,sunny,Low,42,Good
VRU,126,1171.4,757.375,13,11.13,Decisive,rain,slippery,Low,42,Good
VRU,127,783.7,841.2,8,11.12,Decisive,snow,slippery,Low,23,Medium
VRU,128,1401.9,794.3,14,10.88,Decisive,night,clear,High,43,Medium
VRU,129,1596.4,698.1,5,9.91,Non-decisive,fog,not visible,High,44,Good
VRU,130,1907.2,759.2,4,11.15,Decisive,snow,slippery,Low,34,Medium
VRU,131,258.8,747.66,19,11.55,Decisive,night,clear,Low,38,Medium
VRU,132,190.175,741.9,15,10.77,Decisive,fog,not visible,High,39,Medium
VRU,133,512.5,743.033333333333,14,11.15,Decisive,snow,slippery,Low,40,Medium
VRU,134,54.48,761.4,7,11.08,Non-decisive,snow,slippery,Low,41,Good
VRU,135,324.2,769.3,7,10.13,Decisive,fog,not visible,High,42,Good
VRU,136,376.1,735.9,17,11.43,Decisive,snow,slippery,Low,43,Medium
VRU,137,1884.33333333333,680.2,7,11.53,Decisive,night,clear,Low,39,Medium
VRU,138,200.9,752.675,7,11.18,Decisive,motorway,sunny,Low,44,Good
VRU,139,1179.68,830.36,18,10.55,Decisive,fog,not visible,High,45,Medium
VRU,140,725.4,731.1,9,12.46,Decisive,motorway,sunny,Low,34,Medium
VRU,141,704.5,891.6,2,9.84,Decisive,rain,slippery,High,39,Medium
VRU,142,231.2,808.1,7,11.03,Decisive,snow,slippery,Low,45,Medium
VRU,143,242.4,748.033333333333,10,11.79,Decisive,night,clear,Low,46,Medium
VRU,144,678.6,803.5,10,9.97,Decisive,rain,slippery,High,41,Good
VRU,145,216.6,702.9,7,10.67,Decisive,fog,not visible,High,47,Good
VRU,146,1814.33333333333,734.5,14,12.1,Decisive,fog,not visible,Low,45,Medium
VRU,147,1805.5,851.0,8,9.87,Decisive,fog,not visible,High,46,Medium
VRU,148,363.466666666667,749.166666666667,18,11.53,Decisive,snow,slippery,Low,48,Good
VRU,149,1786.9,823.15,9,10.54,Decisive,rain,slippery,High,47,Good
VRU,150,1687.6,780.8,12,11.17,Decisive,night,clear,Low,48,Good
VRU,151,970.3,832.3,7,11.26,Non-decisive,rain,slippery,Low,37,Good
VRU,152,1597.56,754.94,10,11.39,Non-decisive,night,clear,Low,49,Medium
VRU,153,528.5,408.7,2,10.24,Non-decisive,fog,not visible,High,49,Medium
VRU,154,786.0,779.8,7,10.71,Decisive,fog,not visible,High,44,Good
VRU,155,1909.5,653.0,10,9.6,Non-decisive,rain,slippery,High,31,Medium
VRU,156,101.3,576.5,10,10.68,Decisive,rain,slippery,High,50,Medium
VRU,157,1725.9,821.7,9,12.78,Decisive,motorway,sunny,Low,50,Medium
VRU,158,1747.95,759.6,8,10.81,Non-decisive,fog,not visible,High,51,Good
VRU,159,1810.3,710.766666666667,9,11.34,Decisive,fog,not visible,Low,52,Medium
VRU,160,1303.15,782.65,14,10.57,Decisive,fog,not visible,High,46,Medium
VRU,161,881.2,847.2,5,12.88,Non-decisive,motorway,sunny,Low,43,Medium
VRU,162,1389.7,743.9,8,12.56,Decisive,motorway,sunny,Low,53,Medium
VRU,163,1904.8,639.3,1,11.2,Non-decisive,snow,slippery,Low,35,Medium
VRU,164,656.95,770.35,7,10.76,Non-decisive,snow,slippery,High,50,Medium
VRU,165,1525.0,759.0,6,11.88,Decisive,night,clear,Low,54,Good
VRU,166,1017.0,751.333333333333,8,11.83,Decisive,night,clear,Low,47,Good
VRU,167,343.833333333333,746.266666666667,10,12.03,Decisive,motorway,sunny,Low,51,Good
VRU,168,711.95,754.05,12,9.92,Decisive,rain,slippery,High,52,Medium
VRU,169,1339.1,805.05,8,10.91,Decisive,fog,not visible,High,55,Medium
VRU,170,195.2,683.6,8,10.2,Decisive,fog,not visible,High,52,Medium
VRU,171,380.7,743.1,11,10.75,Non-decisive,rain,slippery,High,53,Medium
VRU,172,1908.5,811.9,3,10.87,Decisive,snow,slippery,High,43,Medium
VRU,173,1909.5,737.1,7,10.33,Decisive,fog,not visible,High,53,Medium
VRU,174,1288.3,750.3,9,9.92,Decisive,fog,not visible,High,52,Medium
VRU,175,1185.3,766.828571428571,28,10.96,Decisive,fog,not visible,High,48,Good
VRU,176,297.35,729.9,7,10.84,Decisive,fog,not visible,High,54,Good
VRU,177,261.65,706.5,10,10.91,Decisive,snow,slippery,High,55,Medium
VRU,178,1314.36666666667,764.6,19,11.15,Non-decisive,snow,slippery,Low,56,Medium
VRU,179,630.7,736.5,15,10.97,Decisive,snow,slippery,High,56,Medium
VRU,180,30.1666666666667,689.066666666667,10,11.78,Decisive,motorway,sunny,Low,12,Medium
VRU,181,1098.3,780.0,4,10.6,Decisive,fog,not visible,High,51,Good
VRU,182,1155.63333333333,776.366666666667,12,10.94,Decisive,fog,not visible,High,57,Good
VRU,183,1734.4,749.1,3,10.25,Decisive,fog,not visible,High,57,Good
VRU,184,1226.43333333333,780.1,13,10.64,Decisive,snow,slippery,High,50,Medium
VRU,185,1684.0,798.0,6,12.84,Decisive,junction,overcast,Low,58,Medium
VRU,186,1475.3,831.4,6,11.19,Decisive,night,clear,Low,59,Good
VRU,187,1339.2,781.525,24,10.55,Decisive,fog,not visible,High,60,Medium
VRU,188,1492.36666666667,741.266666666667,11,10.31,Non-decisive,rain,slippery,High,61,Good
VRU,189,1521.36666666667,754.6,16,11.55,Decisive,motorway,sunny,Low,62,Medium
VRU,190,1422.8,680.9,8,9.22,Decisive,rain,slippery,High,63,Medium
VRU,191,141.6,792.1,6,9.51,Non-decisive,rain,slippery,High,49,Medium
VRU,192,17.6,837.2,1,10.77,Non-decisive,snow,slippery,High,40,Medium
VRU,193,465.95,829.55,6,11.49,Decisive,fog,not visible,Low,57,Good
VRU,194,1252.075,761.275,12,11.35,Decisive,night,clear,Low,64,Medium
VRU,195,1472.0,782.8,13,11.48,Decisive,fog,not visible,Low,65,Good
VRU,196,1600.95,798.85,10,11.45,Decisive,rain,slippery,Low,66,Medium
VRU,197,1693.4,825.3,12,11.41,Non-decisive,snow,slippery,Low,67,Medium
VRU,198,861.6,767.8,7,10.13,Decisive,fog,not visible,High,54,Good
VRU,199,1613.0,769.9,15,10.28,Decisive,fog,not visible,High,68,Good
VRU,200,1847.0,778.2,14,11.01,Decisive,motorway,sunny,Low,55,Medium
VRU,201,487.5,844.3,9,11.1,Non-decisive,snow,slippery,Low,58,Medium
VRU,202,1465.9,809.4,4,9.82,Non-decisive,fog,not visible,High,69,Good
VRU,203,475.6,733.6,5,9.71,Decisive,fog,not visible,High,59,Good
VRU,204,1890.6,742.9,10,11.73,Non-decisive,night,clear,Low,56,Medium
VRU,205,1791.9,716.9,8,10.86,Decisive,snow,slippery,High,64,Medium
VRU,206,1846.425,735.5,18,10.86,Decisive,snow,slippery,High,60,Medium
VRU,207,557.66,754.1,20,10.75,Decisive,rain,slippery,High,60,Medium
VRU,208,275.1,764.066666666667,19,9.22,Decisive,rain,slippery,High,61,Good
VRU,209,539.1,817.55,7,11.52,Decisive,night,clear,Low,62,Medium
VRU,210,1709.75,775.25,17,12.08,Decisive,night,clear,Low,70,Medium
VRU,211,1388.0,774.0,13,10.18,Decisive,rain,slippery,High,71,Medium
VRU,212,609.96,751.02,17,12.13,Decisive,night,clear,Low,63,Medium
VRU,213,743.4,751.6,7,12.41,Non-decisive,motorway,sunny,Low,46,Medium
VRU,214,574.5,798.75,6,10.98,Non-decisive,night,clear,High,64,Medium
VRU,215,1867.7,659.1,7,9.68,Decisive,rain,slippery,High,72,Medium
VRU,216,190.966666666667,752.833333333333,7,12.07,Decisive,motorway,sunny,Low,65,Good
VRU,217,595.35,796.55,9,11.85,Non-decisive,night,clear,Low,66,Medium
VRU,218,510.3,760.175,13,12.11,Decisive,night,clear,Low,67,Medium
VRU,219,721.7,847.8,3,11.27,Decisive,snow,slippery,Low,65,Good
VRU,220,1191.05,806.7,11,10.33,Decisive,fog,not visible,High,67,Medium
VRU,221,1296.3,845.7,2,11.36,Decisive,night,clear,Low,72,Medium
VRU,222,700.233333333333,770.566666666667,8,11.4,Decisive,night,clear,Low,68,Good
VRU,223,1119.56666666667,778.466666666667,19,12.33,Decisive,motorway,sunny,Low,58,Medium
VRU,224,1180.8,855.6,2,11.83,Decisive,night,clear,Low,70,Medium
VRU,225,1559.6,820.4,8,10.38,Decisive,fog,not visible,High,73,Good
VRU,226,1071.23333333333,784.666666666667,18,11.43,Decisive,motorway,sunny,Low,49,Medium
VRU,227,317.783333333333,743.416666666667,29,10.21,Decisive,fog,not visible,High,69,Good
VRU,228,666.0,735.0,4,11.29,Decisive,motorway,sunny,Low,70,Medium
VRU,229,1356.125,790.75,25,10.17,Decisive,fog,not visible,High,74,Medium
VRU,230,28.4,707.05,8,11.33,Decisive,night,clear,Low,56,Medium
VRU,231,357.0,886.1,1,10.36,Decisive,fog,not visible,High,71,Medium
VRU,232,1242.725,781.175,14,11.1,Decisive,fog,not visible,Low,75,Medium
VRU,233,729.8,813.7,5,12.1,Non-decisive,motorway,sunny,Low,72,Medium
VRU,234,1211.0,784.7,9,11.19,Decisive,fog,not visible,Low,76,Medium
VRU,235,278.75,751.575,15,9.59,Decisive,fog,not visible,High,73,Good
VRU,236,1550.25,742.65,18,11.2,Decisive,motorway,sunny,Low,77,Good
VRU,237,98.1,809.7,3,11.12,Decisive,motorway,sunny,Low,63,Medium
VRU,238,1838.2,756.4,9,11.05,Decisive,snow,slippery,Low,75,Medium
VRU,239,1060.43333333333,780.3,7,10.6,Non-decisive,motorway,sunny,High,73,Good
VRU,240,1728.35,805.325,12,9.85,Decisive,fog,not visible,High,76,Medium
VRU,241,332.2,741.7,11,10.75,Non-decisive,snow,slippery,High,74,Medium
VRU,242,1453.6,739.9,12,11.03,Decisive,motorway,sunny,Low,78,Good
VRU,243,1543.0,759.35,4,11.15,Decisive,snow,slippery,Low,79,Good
VRU,244,892.1,826.2,3,11.26,Non-decisive,fog,not visible,Low,53,Medium
VRU,245,999.7,758.0,12,10.33,Decisive,fog,not visible,High,77,Good
VRU,246,1603.8,662.5,2,9.6,Non-decisive,fog,not visible,High,80,Good
VRU,247,1437.9,860.4,3,9.11,Decisive,rain,slippery,High,81,Medium
VRU,248,1203.35,750.6,4,12.3,Non-decisive,night,clear,Low,82,Good
VRU,249,921.7,777.5,6,10.43,Decisive,fog,not visible,High,61,Good
VRU,250,175.4,784.0,6,12.1,Decisive,motorway,sunny,Low,68,Good
VRU,251,1850.5,302.1,5,10.29,Decisive,fog,not visible,High,1,Poor
VRU,252,493.9,796.6,4,9.95,Decisive,fog,not visible,High,75,Medium
VRU,253,1262.35714285714,765.714285714286,17,11.86,Non-decisive,motorway,sunny,Low,83,Medium
VRU,254,1243.05,811.9,15,11.21,Decisive,motorway,sunny,Low,84,Medium
VRU,255,1000.1,815.666666666667,11,11.63,Non-decisive,night,clear,Low,79,Good
VRU,256,127.725,751.75,12,11.85,Non-decisive,night,clear,Low,70,Medium
VRU,257,1894.2,1013.9,1,9.07,Decisive,rain,slippery,High,1,Poor
VRU,258,1211.63333333333,749.6,13,10.89,Decisive,snow,slippery,High,85,Medium
VRU,259,1586.4,829.9,3,13.16,Decisive,motorway,sunny,Low,86,Good
VRU,260,1839.9,661.166666666667,7,9.64,Non-decisive,fog,not visible,High,74,Medium
VRU,261,533.0,757.6,8,11.73,Non-decisive,motorway,sunny,Low,76,Medium
VRU,262,1364.15,754.3,13,11.84,Decisive,night,clear,Low,87,Medium
VRU,263,362.65,726.05,12,11.09,Decisive,snow,slippery,Low,77,Good
VRU,264,661.45,811.0,8,12.18,Non-decisive,motorway,sunny,Low,78,Good
VRU,265,1621.4,746.5,12,11.35,Non-decisive,fog,not visible,Low,88,Good
VRU,266,1086.3,770.6,16,11.09,Decisive,snow,slippery,Low,80,Good
VRU,267,486.1,700.8,2,11.55,Decisive,motorway,sunny,Low,79,Good
VRU,268,782.533333333333,750.1,8,10.02,Decisive,rain,slippery,High,55,Medium
VRU,269,1878.4,639.9,8,10.87,Decisive,night,clear,High,71,Medium
VRU,270,75.0333333333333,728.6,13,12.03,Non-decisive,motorway,sunny,Low,64,Medium
VRU,271,47.4,788.4,5,11.1,Decisive,fog,not visible,Low,60,Medium
VRU,272,1612.1,829.9,5,11.4,Decisive,snow,slippery,Low,89,Good
VRU,273,467.15,759.55,11,12.17,Decisive,night,clear,Low,80,Good
VRU,274,939.1,866.5,3,9.86,Decisive,fog,not visible,High,69,Good
VRU,275,1181.5,752.933333333333,20,11.25,Decisive,motorway,sunny,Low,90,Medium
VRU,276,999.3,835.8,18,11.78,Decisive,night,clear,Low,86,Good
VRU,277,1066.75,765.9,15,10.48,Non-decisive,fog,not visible,High,88,Good
VRU,278,1725.7,722.7,10,9.47,Decisive,rain,slippery,High,82,Good
VRU,279,420.9,824.95,15,9.99,Decisive,fog,not visible,High,81,Medium
VRU,280,1864.1,730.5,7,10.37,Non-decisive,fog,not visible,High,83,Medium
VRU,281,441.95,772.7,15,9.61,Non-decisive,rain,slippery,High,82,Good
VRU,282,1533.15,735.8,8,10.73,Decisive,snow,slippery,High,91,Good
VRU,283,269.5,780.6,4,11.75,Decisive,snow,slippery,Low,83,Medium
VRU,284,1433.9,774.9,9,11.01,Non-decisive,rain,slippery,Low,92,Good
VRU,285,525.966666666667,833.033333333333,6,12.2,Decisive,night,clear,Low,84,Medium
VRU,286,1855.5,764.2,6,12.29,Decisive,motorway,sunny,Low,84,Medium
VRU,287,692.1,851.2,9,10.55,Non-decisive,fog,not visible,High,85,Medium
VRU,288,749.05,786.3,4,10.38,Decisive,fog,not visible,High,87,Medium
VRU,289,272.0,854.1,1,11.25,Non-decisive,snow,slippery,Low,86,Good
VRU,290,1205.625,808.5,14,11.9,Decisive,motorway,sunny,Low,93,Medium
VRU,291,53.8,794.1,4,11.3,Decisive,night,clear,Low,66,Medium
VRU,292,979.8,792.8,6,11.11,Decisive,night,clear,Low,89,Good
VRU,293,1707.2,730.9,21,10.93,Decisive,fog,not visible,High,90,Medium
VRU,294,1893.2,865.5,3,9.58,Decisive,fog,not visible,High,63,Medium
VRU,295,364.0,767.35,6,10.62,Decisive,rain,slippery,High,88,Good
VRU,296,65.7,201.6,1,8.53,Non-decisive,rain,slippery,High,1,Poor
VRU,297,1065.3,749.9,6,9.9,Decisive,fog,not visible,High,94,Good
VRU,298,1135.975,769.625,15,11.59,Decisive,night,clear,Low,95,Good
VRU,299,1534.34,773.44,18,10.7,Decisive,rain,slippery,High,96,Good
VRU,300,1511.46666666667,787.1,22,12.84,Decisive,motorway,sunny,Low,97,Good
VRU,301,827.1,864.9,7,9.8,Decisive,rain,slippery,High,74,Medium
VRU,302,1367.24,786.6,18,10.18,Decisive,fog,not visible,High,98,Medium
VRU,303,1375.8,822.3,12,11.09,Decisive,night,clear,Low,99,Medium
VRU,304,1119.04,764.22,21,11.41,Non-decisive,snow,slippery,Low,100,Good
VRU,305,534.733333333333,794.133333333333,4,11.53,Decisive,fog,not visible,Low,90,Medium
VRU,306,1820.5,769.02,16,11.64,Decisive,night,clear,Low,85,Medium
VRU,307,1249.1,689.4,2,10.25,Decisive,night,clear,High,101,Medium
VRU,308,1602.1,816.3,5,9.66,Decisive,fog,not visible,High,94,Good
VRU,309,369.125,737.45,7,11.97,Non-decisive,motorway,sunny,Low,89,Good
VRU,310,682.7,789.7,6,10.05,Decisive,fog,not visible,High,91,Good
VRU,311,1885.7,715.4,13,11.03,Decisive,rain,slippery,Low,87,Medium
VRU,312,286.1,768.3,9,10.65,Decisive,fog,not visible,High,92,Good
VRU,313,1212.2,770.4,10,9.88,Decisive,fog,not visible,High,102,Good
VRU,314,811.5,781.4,6,10.1,Decisive,fog,not visible,High,92,Good
VRU,315,1463.46666666667,742.166666666667,12,12.07,Decisive,motorway,sunny,Low,103,Good
VRU,316,47.6666666666667,745.533333333333,9,11.05,Non-decisive,motorway,sunny,Low,72,Medium
VRU,317,1323.85,806.15,9,9.58,Decisive,fog,not visible,High,104,Medium
VRU,318,27.9,663.2,4,10.2,Decisive,fog,not visible,High,62,Medium
VRU,319,1826.93333333333,695.466666666667,7,10.86,Decisive,rain,slippery,High,93,Medium
VRU,320,1616.3,713.6,1,12.54,Non-decisive,motorway,sunny,Low,105,Medium
VRU,321,1766.5,587.0,2,10.85,Decisive,fog,not visible,High,95,Good
VRU,322,164.125,768.25,8,11.69,Non-decisive,night,clear,Low,85,Medium
VRU,323,958.8,762.8,12,11.88,Non-decisive,night,clear,Low,96,Good
VRU,324,66.9,747.1,1,12.55,Decisive,motorway,sunny,Low,78,Good
VRU,325,614.033333333333,762.066666666667,11,11.49,Decisive,snow,slippery,Low,93,Medium
VRU,326,849.1,745.9,11,10.7,Decisive,fog,not visible,High,71,Medium
VRU,327,377.7,824.8,7,11.54,Decisive,night,clear,Low,94,Good
VRU,328,41.3,700.6,11,10.33,Decisive,fog,not visible,High,84,Medium
VRU,329,725.8,778.54,12,10.85,Decisive,fog,not visible,High,97,Good
VRU,330,1303.6,712.7,4,9.63,Decisive,rain,slippery,High,106,Medium
VRU,331,1262.8,733.8,9,10.67,Non-decisive,rain,slippery,High,107,Medium
